Task,Configuration,Index,CumulativeSpectralEnergy
Santa Fe,Multi-lattice fusion,120,0.994087084866277
Santa Fe,Multi-lattice fusion,121,0.994335332174794
Santa Fe,Multi-lattice fusion,122,0.994568821532424
Santa Fe,Multi-lattice fusion,123,0.994795997966884
Santa Fe,Multi-lattice fusion,124,0.995016937223708
Santa Fe,Multi-lattice fusion,125,0.995226921602501
Santa Fe,Multi-lattice fusion,126,0.995432728277838
Santa Fe,Multi-lattice fusion,127,0.995629841416706
Santa Fe,Multi-lattice fusion,128,0.995821751267947
Santa Fe,Multi-lattice fusion,129,0.996002487393617
Santa Fe,Multi-lattice fusion,130,0.996179532193095
Santa Fe,Multi-lattice fusion,131,0.996347888025689
Santa Fe,Multi-lattice fusion,132,0.996510469645933
Santa Fe,Multi-lattice fusion,133,0.996672014239924
Santa Fe,Multi-lattice fusion,134,0.996826544070314
Santa Fe,Multi-lattice fusion,135,0.996970547297795
Santa Fe,Multi-lattice fusion,136,0.997111775776492
Santa Fe,Multi-lattice fusion,137,0.997245880219375
Santa Fe,Multi-lattice fusion,138,0.99736813907971
Santa Fe,Multi-lattice fusion,139,0.997489205394371
Santa Fe,Multi-lattice fusion,140,0.997606160911607
Santa Fe,Multi-lattice fusion,141,0.997719217046231
Santa Fe,Multi-lattice fusion,142,0.997827449298314
Santa Fe,Multi-lattice fusion,143,0.997932024432216
Santa Fe,Multi-lattice fusion,144,0.99803496743663
Santa Fe,Multi-lattice fusion,145,0.998132387373387
Santa Fe,Multi-lattice fusion,146,0.998224517973685
Santa Fe,Multi-lattice fusion,147,0.998312846227945
Santa Fe,Multi-lattice fusion,148,0.998396984631937
Santa Fe,Multi-lattice fusion,149,0.998478980676191
Santa Fe,Multi-lattice fusion,150,0.99855858341227
Santa Fe,Multi-lattice fusion,151,0.998631365463494
Santa Fe,Multi-lattice fusion,152,0.998703764259
Santa Fe,Multi-lattice fusion,153,0.998771771569746
Santa Fe,Multi-lattice fusion,154,0.998835017546296
Santa Fe,Multi-lattice fusion,155,0.998897660937885
Santa Fe,Multi-lattice fusion,156,0.998958008269916
Santa Fe,Multi-lattice fusion,157,0.999015593171786
Santa Fe,Multi-lattice fusion,158,0.999071674706914
Santa Fe,Multi-lattice fusion,159,0.999125341209155
Santa Fe,Multi-lattice fusion,160,0.999175229362999
Santa Fe,Multi-lattice fusion,161,0.9992241582416
Santa Fe,Multi-lattice fusion,162,0.999269662553601
Santa Fe,Multi-lattice fusion,163,0.99931219592881
Santa Fe,Multi-lattice fusion,164,0.999353850552269
Santa Fe,Multi-lattice fusion,165,0.999393358599641
Santa Fe,Multi-lattice fusion,166,0.999430868530777
Santa Fe,Multi-lattice fusion,167,0.999466767460488
Santa Fe,Multi-lattice fusion,168,0.999501133777372
Santa Fe,Multi-lattice fusion,169,0.99953470768631
Santa Fe,Multi-lattice fusion,170,0.99956677252248
Santa Fe,Multi-lattice fusion,171,0.999597499560403
Santa Fe,Multi-lattice fusion,172,0.99962751621718
Santa Fe,Multi-lattice fusion,173,0.99965567050828
Santa Fe,Multi-lattice fusion,174,0.999682403335838
Santa Fe,Multi-lattice fusion,175,0.999706438583306
Santa Fe,Multi-lattice fusion,176,0.999729192674894
Santa Fe,Multi-lattice fusion,177,0.999751027011604
Santa Fe,Multi-lattice fusion,178,0.999771667833802
Santa Fe,Multi-lattice fusion,179,0.999791611210712
Santa Fe,Multi-lattice fusion,180,0.999810902491135
Santa Fe,Multi-lattice fusion,181,0.999830037663527
Santa Fe,Multi-lattice fusion,182,0.99984720515482
Santa Fe,Multi-lattice fusion,183,0.999863273837229
Santa Fe,Multi-lattice fusion,184,0.999878378785035
Santa Fe,Multi-lattice fusion,185,0.999892041292286
Santa Fe,Multi-lattice fusion,186,0.999903649219558
Santa Fe,Multi-lattice fusion,187,0.999914805356595
Santa Fe,Multi-lattice fusion,188,0.999925824861397
Santa Fe,Multi-lattice fusion,189,0.999936598768296
Santa Fe,Multi-lattice fusion,190,0.999946300286163
Santa Fe,Multi-lattice fusion,191,0.999955581343166
Santa Fe,Multi-lattice fusion,192,0.99996386827475
Santa Fe,Multi-lattice fusion,193,0.999971732448062
Santa Fe,Multi-lattice fusion,194,0.99997903300256
Santa Fe,Multi-lattice fusion,195,0.999985771415774
Santa Fe,Multi-lattice fusion,196,0.999991421425716
Santa Fe,Multi-lattice fusion,197,0.999996313038477
Santa Fe,Multi-lattice fusion,198,1
NARMA10,Single-lattice,1,0.120641846820568
NARMA10,Single-lattice,2,0.206839403165523
NARMA10,Single-lattice,3,0.287625298330861
NARMA10,Single-lattice,4,0.361861825522515
NARMA10,Single-lattice,5,0.41976943385785
NARMA10,Single-lattice,6,0.475537879474224
NARMA10,Single-lattice,7,0.529114157605651
NARMA10,Single-lattice,8,0.5716470968511
NARMA10,Single-lattice,9,0.609835454367135
NARMA10,Single-lattice,10,0.646442896421776
NARMA10,Single-lattice,11,0.679077967812475
NARMA10,Single-lattice,12,0.708522029041399
NARMA10,Single-lattice,13,0.735764124263343
NARMA10,Single-lattice,14,0.757942359077223
NARMA10,Single-lattice,15,0.776698397468669
NARMA10,Single-lattice,16,0.794485984227942
NARMA10,Single-lattice,17,0.811482014179615
NARMA10,Single-lattice,18,0.826228199799851
NARMA10,Single-lattice,19,0.839904921208633
NARMA10,Single-lattice,20,0.852857377468057
NARMA10,Single-lattice,21,0.864093085755701
NARMA10,Single-lattice,22,0.87476400771017
NARMA10,Single-lattice,23,0.884995166157785
NARMA10,Single-lattice,24,0.894703526632561
NARMA10,Single-lattice,25,0.903729234889169
NARMA10,Single-lattice,26,0.912496708328044
NARMA10,Single-lattice,27,0.921034233396119
NARMA10,Single-lattice,28,0.929341917984301
NARMA10,Single-lattice,29,0.93646033811455
NARMA10,Single-lattice,30,0.943249354142109
NARMA10,Single-lattice,31,0.949666980536906
NARMA10,Single-lattice,32,0.955842274151959
NARMA10,Single-lattice,33,0.961863475976275
NARMA10,Single-lattice,34,0.967120975663078
NARMA10,Single-lattice,35,0.97186205758787
NARMA10,Single-lattice,36,0.974864748869598
NARMA10,Single-lattice,37,0.977050315428397
NARMA10,Single-lattice,38,0.978603891157619
NARMA10,Single-lattice,39,0.979850348339702
NARMA10,Single-lattice,40,0.981086183766702
NARMA10,Single-lattice,41,0.982274834661202
NARMA10,Single-lattice,42,0.983396203212273
NARMA10,Single-lattice,43,0.984486749340475
NARMA10,Single-lattice,44,0.985518753374713
NARMA10,Single-lattice,45,0.986539187263186
NARMA10,Single-lattice,46,0.987511321045616
NARMA10,Single-lattice,47,0.988388789507949
NARMA10,Single-lattice,48,0.989257543526098
NARMA10,Single-lattice,49,0.990100664672584
