panel,matrix,sample_index,feature_channel,z_score_value
Supplementary Fig. 3,Lattice config 1,54,2,0.403054345666642
Supplementary Fig. 3,Lattice config 1,55,2,0.403054345666642
Supplementary Fig. 3,Lattice config 1,56,2,0.403054345666642
Supplementary Fig. 3,Lattice config 1,57,2,-0.61518732761667
Supplementary Fig. 3,Lattice config 1,58,2,-0.800322177304545
Supplementary Fig. 3,Lattice config 1,59,2,-0.747426505965152
Supplementary Fig. 3,Lattice config 1,60,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,61,2,-0.916031458359467
Supplementary Fig. 3,Lattice config 1,62,2,-0.800322177304545
Supplementary Fig. 3,Lattice config 1,63,2,-0.892889602148482
Supplementary Fig. 3,Lattice config 1,64,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,65,2,0.12535207113483
Supplementary Fig. 3,Lattice config 1,66,2,0.680756620198455
Supplementary Fig. 3,Lattice config 1,67,2,0.958458894730267
Supplementary Fig. 3,Lattice config 1,68,2,0.958458894730267
Supplementary Fig. 3,Lattice config 1,69,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,70,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,71,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,72,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,73,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,74,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,75,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,76,2,-0.98545702699242
Supplementary Fig. 3,Lattice config 1,77,2,-0.939173314570451
Supplementary Fig. 3,Lattice config 1,78,2,-0.916031458359467
Supplementary Fig. 3,Lattice config 1,79,2,-0.892889602148482
Supplementary Fig. 3,Lattice config 1,80,2,-0.874376117179695
Supplementary Fig. 3,Lattice config 1,81,2,-0.811893105410037
Supplementary Fig. 3,Lattice config 1,82,2,-0.777180321093561
Supplementary Fig. 3,Lattice config 1,83,2,-0.555018501468111
Supplementary Fig. 3,Lattice config 1,84,2,0.0658444408780132
Supplementary Fig. 3,Lattice config 1,85,2,0.804179853323705
Supplementary Fig. 3,Lattice config 1,86,2,2.04612613664653
Supplementary Fig. 3,Lattice config 1,87,2,2.19423401639683
Supplementary Fig. 3,Lattice config 1,88,2,0.165023824639375
Supplementary Fig. 3,Lattice config 1,89,2,-0.545761758983717
Supplementary Fig. 3,Lattice config 1,90,2,-0.661471040038639
Supplementary Fig. 3,Lattice config 1,91,2,-0.777180321093561
Supplementary Fig. 3,Lattice config 1,92,2,-0.831177985585858
Supplementary Fig. 3,Lattice config 1,93,2,-0.902146344632876
Supplementary Fig. 3,Lattice config 1,94,2,-0.684612896249623
Supplementary Fig. 3,Lattice config 1,95,2,-0.579584471907463
Supplementary Fig. 3,Lattice config 1,96,2,-0.24491762824092
Supplementary Fig. 3,Lattice config 1,97,2,-0.138465089670392
Supplementary Fig. 3,Lattice config 1,98,2,0.530334554827057
Supplementary Fig. 3,Lattice config 1,99,2,1.00895021737241
Supplementary Fig. 3,Lattice config 1,100,2,0.680756620198455
Supplementary Fig. 3,Lattice config 1,101,2,0.146713784560354
Supplementary Fig. 3,Lattice config 1,102,2,-0.404806816607721
Supplementary Fig. 3,Lattice config 1,103,2,-0.707754752460607
Supplementary Fig. 3,Lattice config 1,104,2,-0.811893105410037
Supplementary Fig. 3,Lattice config 1,105,2,-0.673041968144131
Supplementary Fig. 3,Lattice config 1,106,2,-0.730896608671592
Supplementary Fig. 3,Lattice config 1,107,2,-0.835925033013752
Supplementary Fig. 3,Lattice config 1,108,2,-0.679984525007426
Supplementary Fig. 3,Lattice config 1,109,2,-0.592045471405686
Supplementary Fig. 3,Lattice config 1,110,2,-0.0134990661310763
Supplementary Fig. 3,Lattice config 1,111,2,0.236432980947555
Supplementary Fig. 3,Lattice config 1,112,2,0.819607757464361
Supplementary Fig. 3,Lattice config 1,113,2,1.18409199278736
Supplementary Fig. 3,Lattice config 1,114,2,0.958458894730267
Supplementary Fig. 3,Lattice config 1,115,2,-0.207890658303345
Supplementary Fig. 3,Lattice config 1,116,2,-0.638329183827654
Supplementary Fig. 3,Lattice config 1,117,2,-0.88131867404299
Supplementary Fig. 3,Lattice config 1,118,2,-0.902146344632876
Supplementary Fig. 3,Lattice config 1,119,2,-0.823464033515529
Supplementary Fig. 3,Lattice config 1,120,2,-0.754038464882576
Supplementary Fig. 3,Lattice config 1,1,3,-0.727911403628219
Supplementary Fig. 3,Lattice config 1,2,3,-0.543491299177685
Supplementary Fig. 3,Lattice config 1,3,3,0.2633466577934
Supplementary Fig. 3,Lattice config 1,4,3,0.74744943197605
Supplementary Fig. 3,Lattice config 1,5,3,2.26891529369295
Supplementary Fig. 3,Lattice config 1,6,3,2.96049068538245
